zip,facility_count,total_capacity,county,city
95660,46,1062,SACRAMENTO,NORTH HIGHLANDS
92104,46,1142,SAN DIEGO,SAN DIEGO
95616,46,1868,YOLO,DAVIS
95060,46,1409,SANTA CRUZ,SANTA CRUZ
91762,46,1814,SAN BERNARDINO,ONTARIO
95340,46,1171,MERCED,MERCED
95377,46,1036,SAN JOAQUIN,TRACY
92801,46,1184,ORANGE,ANAHEIM
92102,45,1100,SAN DIEGO,SAN DIEGO
90033,45,1570,LOS ANGELES,LOS ANGELES
96150,45,1388,EL DORADO,SOUTH LAKE TAHOE
94526,45,2834,CONTRA COSTA,DANVILLE
92346,45,1729,SAN BERNARDINO,HIGHLAND
93401,45,1494,SAN LUIS OBISPO,SAN LUIS OBISPO
95401,44,1678,SONOMA,SANTA ROSA
92557,44,1026,RIVERSIDE,MORENO VALLEY
95403,44,1499,SONOMA,SANTA ROSA
92805,44,1330,ORANGE,ANAHEIM
90255,44,1253,LOS ANGELES,WALNUT PARK
92688,44,2457,ORANGE,RANCHO STA MARGARITA
91941,44,1639,SAN DIEGO,LA MESA
92879,44,1790,RIVERSIDE,CORONA
95330,44,749,SAN JOAQUIN,LATHROP
95136,44,1400,SANTA CLARA,SAN JOSE
94941,44,1451,MARIN,MILL VALLEY
91766,44,1135,LOS ANGELES,POMONA
94553,44,1630,CONTRA COSTA,MARTINEZ
92374,44,1709,SAN BERNARDINO,REDLANDS
92223,44,903,RIVERSIDE,BEAUMONT
96001,44,1101,SHASTA,REDDING
94577,44,1478,ALAMEDA,SAN LEANDRO
91304,44,1603,LOS ANGELES,CANOGA PARK
91765,44,2087,LOS ANGELES,DIAMOND BAR
91325,43,2090,LOS ANGELES,NORTHRIDGE
91748,43,1563,LOS ANGELES,ROWLAND HEIGHTS
95831,43,1728,SACRAMENTO,SACRAMENTO
93722,43,1293,FRESNO,FRESNO
95062,43,1278,SANTA CRUZ,SANTA CRUZ
94063,43,1219,SAN MATEO,REDWOOD CITY
93312,43,1100,KERN,BAKERSFIELD
95776,43,1215,YOLO,WOODLAND
95307,43,1055,STANISLAUS,CERES
94601,43,1241,ALAMEDA,OAKLAND
90062,43,974,LOS ANGELES,LOS ANGELES
92627,43,2040,ORANGE,COSTA MESA
90280,43,1244,LOS ANGELES,SOUTH GATE
92058,43,1754,SAN DIEGO,OCEANSIDE
93611,42,1471,FRESNO,CLOVIS
93063,42,1911,VENTURA,SIMI VALLEY
95219,42,1310,SAN JOAQUIN,STOCKTON
93720,42,1743,FRESNO,FRESNO
93657,42,922,FRESNO,SANGER
92083,42,1655,SAN DIEGO,VISTA
90731,42,1138,LOS ANGELES,SAN PEDRO
91761,42,1089,SAN BERNARDINO,ONTARIO
90023,41,1355,LOS ANGELES,LOS ANGELES
90201,41,1360,LOS ANGELES,BELL
92139,41,934,SAN DIEGO,SAN DIEGO
94043,41,2411,SANTA CLARA,MOUNTAIN VIEW
91789,41,2780,LOS ANGELES,ROWLAND HEIGHTS
94589,41,748,SOLANO,VALLEJO
94518,41,1092,CONTRA COSTA,CONCORD
90303,41,975,LOS ANGELES,INGLEWOOD
92704,41,1506,ORANGE,SANTA ANA
90640,41,962,LOS ANGELES,MONTEBELLO
95240,41,1148,SAN JOAQUIN,LODI
95945,40,960,NEVADA,GRASS VALLEY
94551,40,1793,ALAMEDA,LIVERMORE
94602,40,1103,ALAMEDA,OAKLAND
91307,40,1471,LOS ANGELES,WEST HILLS
95121,40,1258,SANTA CLARA,SAN JOSE
90505,40,2813,LOS ANGELES,TORRANCE
93552,40,718,LOS ANGELES,PALMDALE
90003,40,1154,LOS ANGELES,LOS ANGELES
92069,40,1167,SAN DIEGO,SAN MARCOS
90302,40,1252,LOS ANGELES,INGLEWOOD
94561,40,884,CONTRA COSTA,OAKLEY
95603,40,1275,NEVADA,AUBURN
94549,39,2023,CONTRA COSTA,LAFAYETTE
90042,39,1043,LOS ANGELES,LOS ANGELES
94115,39,1690,SAN FRANCISCO,SAN FRANCISCO
92335,39,1602,SAN BERNARDINO,FONTANA
92307,39,1065,SAN BERNARDINO,APPLE VALLEY
94590,39,1001,SOLANO,VALLEJO
94566,39,2028,ALAMEDA,PLEASANTON
90064,39,2138,LOS ANGELES,LOS ANGELES
94702,39,943,ALAMEDA,BERKELEY
95117,39,1567,SANTA CLARA,SAN JOSE
94706,39,1207,ALAMEDA,ALBANY
92646,39,1855,ORANGE,HUNTINGTON BEACH
95112,39,1325,SANTA CLARA,SAN JOSE
95677,39,1374,PLACER,ROCKLIN
90405,39,1459,LOS ANGELES,SANTA MONICA
95212,39,742,SAN JOAQUIN,STOCKTON
95404,39,1083,SONOMA,SANTA ROSA
92592,39,2010,RIVERSIDE,TEMECULA
91360,39,1496,VENTURA,THOUSAND OAKS
92054,39,1354,SAN DIEGO,OCEANSIDE
96021,39,724,TEHAMA,CORNING
95842,38,970,SACRAMENTO,SACRAMENTO
90002,38,938,LOS ANGELES,LOS ANGELES
93618,38,720,TULARE,DINUBA
95363,38,892,STANISLAUS,PATTERSON
94608,38,1266,ALAMEDA,OAKLAND
95688,38,1143,SOLANO,VACAVILLE
93648,38,741,FRESNO,PARLIER
94952,38,1450,SONOMA,PETALUMA
92509,38,1359,RIVERSIDE,JURUPA VALLEY
94040,38,2203,SANTA CLARA,MOUNTAIN VIEW
94089,38,961,SANTA CLARA,SUNNYVALE
95301,38,947,MERCED,ATWATER
92705,38,2044,ORANGE,SANTA ANA
96161,38,1099,NEVADA,TRUCKEE
91206,38,996,LOS ANGELES,GLENDALE
91733,38,973,LOS ANGELES,SOUTH EL MONTE
90026,38,1562,LOS ANGELES,LOS ANGELES
91301,38,1867,LOS ANGELES,AGOURA HILLS
92028,38,1457,SAN DIEGO,FALLBROOK
92647,37,2285,ORANGE,HUNTINGTON BEACH
95135,37,1659,SANTA CLARA,SAN JOSE
91702,37,1587,LOS ANGELES,AZUSA
91351,37,1295,LOS ANGELES,CANYON COUNTRY
92626,37,1462,ORANGE,COSTA MESA
95407,37,901,SONOMA,SANTA ROSA
91352,37,807,LOS ANGELES,SUN VALLEY
95827,37,1437,SACRAMENTO,SACRAMENTO
95973,37,836,BUTTE,CHICO
91505,37,1134,LOS ANGELES,BURBANK
92508,37,1614,RIVERSIDE,RIVERSIDE
95501,37,960,HUMBOLDT,EUREKA
95621,37,762,SACRAMENTO,CITRUS HEIGHTS
90305,37,936,LOS ANGELES,INGLEWOOD
90504,37,1344,LOS ANGELES,TORRANCE
93726,37,1058,FRESNO,FRESNO
90046,37,1350,LOS ANGELES,WEST HOLLYWOOD
94510,36,947,SOLANO,BENICIA
95361,36,952,STANISLAUS,OAKDALE
92544,36,1458,RIVERSIDE,HEMET
95966,36,899,BUTTE,OROVILLE
92119,36,1537,SAN DIEGO,SAN DIEGO
94085,36,1263,SANTA CLARA,SUNNYVALE
90301,36,1192,LOS ANGELES,INGLEWOOD
94925,36,1149,MARIN,CORTE MADERA
90717,36,1780,LOS ANGELES,LOMITA
95901,36,839,YUBA,MARYSVILLE
92555,36,1004,RIVERSIDE,MORENO VALLEY
93245,36,803,KINGS,NAS LEMOORE
92173,36,931,SAN DIEGO,SAN YSIDRO
92840,36,1331,ORANGE,GARDEN GROVE
90605,36,991,LOS ANGELES,WHITTIER
91202,36,913,LOS ANGELES,GLENDALE
94954,36,898,SONOMA,PETALUMA
95116,36,1258,SANTA CLARA,SAN JOSE
95054,36,781,SANTA CLARA,SANTA CLARA
93004,36,1316,VENTURA,VENTURA
92404,36,995,SAN BERNARDINO,SAN BERNARDINO
90712,36,943,LOS ANGELES,LAKEWOOD
92078,36,1492,SAN DIEGO,SAN MARCOS
92057,36,1050,SAN DIEGO,OCEANSIDE
92395,36,1335,SAN BERNARDINO,VICTORVILLE
94015,35,1224,SAN MATEO,DALY CITY
91942,35,1137,SAN DIEGO,LA MESA
94024,35,1772,SANTA CLARA,LOS ALTOS
95531,35,636,DEL NORTE,CRESCENT CITY
92530,35,1261,RIVERSIDE,LAKE ELSINORE
92128,35,1123,SAN DIEGO,SAN DIEGO
90808,35,1415,LOS ANGELES,LONG BEACH
92614,35,1619,ORANGE,IRVINE
93654,35,923,FRESNO,REEDLEY
94949,35,1210,MARIN,NOVATO
95825,35,1464,SACRAMENTO,SACRAMENTO
94710,35,1637,ALAMEDA,BERKELEY
